predictor,pretty,posterior_mean,ci_low_95,ci_high_95,prob_positive,r_hat,ess
aaa_BB%_zseason,AAA BB%,2.6230695436766553,0.8443554788404409,4.366915180663532,0.998125,0.9998994648695186,8000.0
aaa_K%_zseason,AAA K%,-3.4808920772895484,-5.451071029163639,-1.5060938939393813,0.000125,0.999833970398688,8000.0
aaa_ISO_zseason,AAA ISO,5.41039490847226,3.393584456844592,7.376831700645641,1.0,0.9998442117966805,8000.0
aaa_BABIP_zseason,AAA BABIP,0.4335192292481662,-1.250800097684145,2.1361579132302837,0.68725,1.0000406758346483,8000.0
age_at_debut,Age at debut,-1.9228067809795888,-3.677705961963302,-0.19940428754882145,0.01475,0.9998724379810584,8000.0
